f_shift,in,lp,bp,hp
4,230,0,0,0
4,459,162,213,55
4,687,569,326,-130
4,913,935,203,-260
4,1136,1094,27,-182
4,1354,1134,47,0
4,1569,1331,215,10
4,1778,1700,272,-148
4,1981,1998,136,-228
4,2178,2098,24,-118
4,2368,2166,79,8
4,2549,2378,206,-22
4,2722,2687,208,-151
4,2887,2893,81,-176
4,3041,2952,14,-65
4,3186,3017,84,19
4,3320,3213,176,-38
4,3442,3444,141,-132
4,3554,3559,31,-118
4,3654,3572,0,-18
4,3741,3622,76,28
4,3816,3763,132,-30
4,3879,3912,80,-101
4,3929,3948,-13,-68
4,3965,3907,-20,24
4,3989,3920,48,42
4,3999,4000,76,-15
4,3996,4056,20,-58
4,3980,4018,-53,-18
4,3950,3926,-49,58
4,3908,3887,6,63
4,3852,3899,20,8
4,3784,3871,-39,-16
4,3703,3764,-93,26
4,3610,3621,-82,88
4,3505,3523,-29,89
4,3388,3470,-24,37
4,3260,3372,-82,22
4,3121,3199,-125,69
4,2972,3018,-110,110
4,2813,2868,-69,109
4,2645,2749,-68,69
4,2468,2594,-114,59
4,2282,2379,-146,99
4,2089,2160,-128,130
4,1890,1982,-106,114
4,1684,1802,-113,96
4,1472,1595,-139,98
4,1255,1360,-149,122
4,1035,1130,-134,134
4,811,921,-121,122
4,584,722,-138,98
4,355,477,-163,118
4,125,221,-155,144
4,16279,-7,-126,140
4,16049,12169,15112,3166
4,15820,29088,7300,-13495
4,15593,26473,-9928,-10032
4,15369,9042,-12547,7336
4,15148,2188,2817,13005
4,14931,14578,12737,-226
4,14719,26629,3440,-11913
4,14512,20803,-10235,-5444
4,14312,7079,-8852,7987
4,14118,4334,4563,9693
4,13932,15942,10211,-2462
4,13754,23870,625,-9977
4,13585,16791,-9255,-2458
4,13425,5784,-5243,8129
4,13275,6325,5400,6763
4,13135,16568,7781,-3779
4,13006,21169,-1293,-7953
4,12889,13788,-7910,-287
4,12782,5767,-2770,7296
4,12688,8487,5847,3930
4,12606,16733,5611,-4395
4,12537,18799,-2469,-6038
4,12480,11770,-6429,1169
4,12436,6338,-911,6199
4,12406,10088,5447,2008
4,12388,16871,3487,-4682
4,12384,16909,-3045,-4330
4,12393,10658,-4952,2036
4,12415,7370,403,4998
4,12451,11542,4788,574
4,12499,16651,2016,-4326
4,12561,15368,-3370,-2658
4,12635,10328,-3589,2458
4,12721,8735,1266,3821
